"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sodium_lbstresn,chemistry_standard,,text,Sodium,,,,,,,"[sodium_lbstat] != 'NOT_DONE'",y,,,,,
sodium_lbstresu,chemistry_standard,,text,"Sodium units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[sodium_lbstat] != 'NOT_DONE'",y,,,,,
inr_lbdtc,inr,,text,"Date of test",,YYYY-MM-DD,date_ymd,,,,,y,,,,,
inr_lbtestcd,inr,,descriptive,INR,,,,,,,"0 = 1",,,,,,
inr_lbtest,inr,,descriptive,"Prothrombin Intl. Normalized Ratio",,,,,,,"0 = 1",,,,,,
inr_lborres,inr,,text,"INR  ",,,number,,,,"[inr_lbstat] != 'NOT_DONE'",y,,,,,
inr_lbstat,inr,,radio,"INR done?","NOT_DONE, NO | null, YES",,,,,,"[inr_lborres] = ''",y,,,,,
hcv_lbtest,hcv_rna_results,,descriptive,"HCV Viral Load",,,,,,,"0 = 1",,,,,,
hcv_lbtestcd,hcv_rna_results,,descriptive,HCVVLD,,,,,,,"0 = 1",,,,,,
hcv_lbdtc,hcv_rna_results,,text,"HCV RNA date",,YYYY-MM-DD,date_ymd,,,,,y,,,,,
hcv_supplb_hcvquant,hcv_rna_results,,radio,"Does the report have a quantified HCV RNA result? <br><b><u>(NOTE: If result is indicated as < the quantitative cutoff, the response should be NO.  If a TMA assay or qualitative assay is used, the response should be NO)</b><u>","N, NO | Y, YES",,,,,,,y,,,,,
hcv_lborres,hcv_rna_results,,text,"HCV RNA results",,,number,,,,"[hcv_supplb_hcvquant] = 'Y'",y,,,,,
hcv_lborresu,hcv_rna_results,,text,"HCV RNA units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[hcv_supplb_hcvquant] = 'Y'",y,,,,,
hcv_supplb_hcvdtct,hcv_rna_results,,radio,"Is HCV RNA DETECTABLE? ","DETECTED, YES; Detected / Positive; HCV RNA is present | BLOQ, NO; Not detected / Negative; HCV RNA is not present | NOT_SPECIFIED, ""Detected"" or ""Not Detected"" is not specified on the report",,,,,,"[hcv_supplb_hcvquant] = 'N'",y,,,,,
hcv_lbstresn,hcv_rna_standard,,text,"HCV RNA results",,,,,,,"[hcv_supplb_hcvquant] = 'Y'",y,,,,,
hcv_lbstresu,hcv_rna_standard,,text,"HCV RNA units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[hcv_supplb_hcvquant] = 'Y'",y,,,,,
hcv_supplb_blipfl,hcv_rna_standard,,radio,"HCV RNA blip - use for outcome?","N, NO | Y, YES",,,,,,"[hcv_supplb_hcvquant] = 'Y'",y,,,,,
hvn_randmesg,harvoni_administration,,descriptive,"<div class='red'>This subject has not been randomized. Treatment data cannot be entered.</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = ''",,,,,,
hvn_zepmesg,harvoni_administration,,descriptive,"<div class='red'>This subject was randomized to Zepatier. You must select a Zepatier-containing regimen</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = 'ZEP'",,,,,,
hvn_vpkmesg,harvoni_administration,,descriptive,"<div class='red'>This subject was randomized to Viekira. You must select a Viekira-containing regimen</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = 'VPK'",,,,,,
hvn_extrt,harvoni_administration,,descriptive,Harvoni,,,,,,,"0 = 1",,,,,,
hvn_exstdtc,harvoni_administration,,text,"Harvoni start date",,YYYY-MM-DD,date_ymd,,,,"[hvn_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'HVN'",y,,,,,
hvn_exdosu,harvoni_administration,,descriptive,90mg/400mg,,,,,,,"0 = 1",,,,,,
hvn_exdosfrq,harvoni_administration,,radio,"Harvoni dose frequency","QD, 1x / day | OTHER, Other","Dosing frequency per interval",,,,,"[hvn_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'HVN'",y,,,,,
hvn_oth_exdosfrq,harvoni_administration,,text,"Harvoni dose frequency other",,,,,,,"[hvn_exdosfrq] = 'OTHER'",y,,,,,
hvn_exdosfrm,harvoni_administration,,descriptive,TABLET,,,,,,,"0 = 1",,,,,,
hvn_suppex_extrtout,harvoni_administration,,radio,"Harvoni dosing status","ONGOING, Ongoing | COMPLETE, Treatment completed | DOSE_MODIFIED_INTERRUPTED, Dose modified / temporarily interrupted | PREMATURELY_DISCONTINUED, Prematurely discontinued",,,,,,"[hvn_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'HVN'",y,,,,,
hvn_exadj,harvoni_administration,,radio,"Reason for dose modification / premature discontinuation of Harvoni","ADVERSE_EVENT, Adverse Event | LACK_OF_EFFICACY, Lack of efficacy | WITHDRAWAL_BY_SUBJECT, Subject withdrew consent | LOST_TO_FOLLOWUP, Lost to follow-up | NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug | DEATH, Death | OTHER, Other",,,,,,"[hvn_exoccur] != 'N' AND ([hvn_suppex_extrtout] = 'PREMATURELY_DISCONTINUED' OR [hvn_suppex_extrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
hvn_oth_exadj,harvoni_administration,,text,"Reason for dose modification / premature discontinuation of Harvoni other",,,,,,,"[hvn_exadj] = 'OTHER'",y,,,,,
hvn_suppex_exncmpae,harvoni_administration,,radio,"Adverse Event (Harvoni stop)","FATIGUE, Fatigue | HEADACHE, Headache | NAUSEA, Nausea | ANAEMIA, Anemia | INSOMNIA, Insomnia | FLU_LIKE_SYMPTOMS, Flu-like symptoms | RASH, Rash | PRURITUS, Pruritus | DIARRHEA, Diarrhea | DYSPNEA, Dyspnea | DIZZINESS, Dizziness | COUGH, Cough | ABDOMINAL_PAIN, Abdominal pain | DECREASED_APPETITE, Decreased appetite | IRRITABILITY, Irritability | CONSTIPATION, Constipation  | VOMITING, Vomiting | ANXIETY, Anxiety | BACK_PAIN, Back pain | DEPRESSION, Depression | HEPATIC_ENCEPHALOPATHY, Hepatic encephalopathy | OEDEMA_PERIPHERAL, Edema of extremities | OTHER, Other",,,,,,"[hvn_exadj] = 'ADVERSE_EVENT' OR [hvn_exadj] = 'DEATH'",y,,,,,
hvn_oth_suppex_exncmpae,harvoni_administration,,text,"Adverse Event (Harvoni stop) other",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[hvn_suppex_exncmpae] = 'OTHER'",y,,,,,
hvn_suppae_daaacn,harvoni_administration,,radio,"What action was taken with Harvoni as a result of this Adverse Event?","DOSE_INCREASED, Dose increased | DOSE_REDUCED, Dose reduced | DRUG_INTERRUPTED, Drug interrupted | DRUG_WITHDRAWN, Drug withdrawn",,,,,,"[hvn_exadj] = 'ADVERSE_EVENT'",y,,,,,
hvn_exendtc,harvoni_administration,,text,"Harvoni stop date",,"YYYY-MM-DD ",date_ymd,,,,"[hvn_exoccur] != 'N' AND ([hvn_suppex_extrtout] = 'COMPLETE' OR [hvn_suppex_extrtout] = 'PREMATURELY_DISCONTINUED' OR [hvn_suppex_extrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
hvn_exoccur,harvoni_administration,,radio,"Was Harvoni started? ","N, NO | Y, YES",,,,,,"[hvn_exstdtc] ='' AND [1_arm_1][rand_suppex_randreg] = 'HVN'",y,,,,,
hvn_suppex_exreasnost,harvoni_administration,,radio,"Please indicate why Harvoni dosing has not started","LEAD_IN_AWAITING_START, Currently on lead-in and awaiting Harvoni start | RBV_DISCONTINUED, RBV discontinued prior to Harvoni start | NEVER_STARTED_TREATMENT, Never started any portion of the HCV regimen | NOT_PART_OF_PLANNED_REGIMEN, Not part of planned regimen",,,,,,"[hvn_exoccur] = 'N'",y,,,,,
vpk_randmesg,ombitasvir_paritaprevir,,descriptive,"<div class='red'>This subject has not been randomized. Treatment data cannot be entered.</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = ''",,,,,,
vpk_hvnmesg,ombitasvir_paritaprevir,,descriptive,"<div class='red'>This subject was randomized to Harvoni. You must select a Harvoni-containing regimen</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = 'HVN'",,,,,,
vpk_zepmesg,ombitasvir_paritaprevir,,descriptive,"<div class='red'>This subject was randomized to Zepatier. You must select a Zepatier-containing regimen</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = 'ZEP'",,,,,,
vpk_nxmesg,ombitasvir_paritaprevir,,descriptive,"<div class=""yellow""><strong>Dasabuvir may also be part of the prescribed regimen. Please complete Dasabuvir form as applicable.</strong></div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = 'VPK'",,,,,,
vpk_extrt,ombitasvir_paritaprevir,"Paritaprevir, Ombitasvir and Ritonavir in combination (Technivie, Viekirax)",descriptive,"Viekira (ombitasvir, paritaprevir, and ritonavir)",,,,,,,"0 = 1",,,,,,
vpk_exstdtc,ombitasvir_paritaprevir,,text,"Combo pill start date",,YYYY-MM-DD,date_ymd,,,,"[vpk_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'VPK'",y,,,,,
vpk_exdose,ombitasvir_paritaprevir,,radio,"Combo pill dose","2, 2 | 1, 1 | OTHER, Other","Dose per administration",,,,,"[vpk_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'VPK'",y,,,,,
vpk_exdosu,ombitasvir_paritaprevir,,descriptive,"12.5mg/75mg/50 mg",,,,,,,"0 = 1",,,,,,
vpk_exdosfrm,ombitasvir_paritaprevir,,descriptive,TABLET,,,,,,,"0 = 1",,,,,,
vpk_exdosfrq,ombitasvir_paritaprevir,,radio,"Combo pill dose frequency","QD, 1x / day | QOD, Every other day | OTHER, Other","Dosing frequency per interval",,,,,"[vpk_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'VPK'",y,,,,,
vpk_oth_exdosfrq,ombitasvir_paritaprevir,,text,"Combo pill dose frequency other",,,,,,,"[vpk_exdosfrq] = 'OTHER'",y,,,,,
vpk_suppex_extrtout,ombitasvir_paritaprevir,,radio,"Combo pill dosing status","ONGOING, Ongoing | COMPLETE, Treatment completed | DOSE_MODIFIED_INTERRUPTED, Dose modified / temporarily interrupted | PREMATURELY_DISCONTINUED, Prematurely discontinued",,,,,,"[vpk_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'VPK'",y,,,,,
vpk_exadj,ombitasvir_paritaprevir,,radio,"Reason for dose modification / premature discontinuation of Combo pill","ADVERSE_EVENT, Adverse Event | LACK_OF_EFFICACY, Lack of efficacy | WITHDRAWAL_BY_SUBJECT, Subject withdrew consent | LOST_TO_FOLLOWUP, Lost to follow-up | NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug | DEATH, Death | OTHER, Other",,,,,,"[vpk_exoccur] != 'N' AND ([vpk_suppex_extrtout] = 'PREMATURELY_DISCONTINUED' OR [vpk_suppex_extrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
vpk_oth_exadj,ombitasvir_paritaprevir,,text,"Reason for dose modification / premature discontinuation of Combo pill other",,,,,,,"[vpk_exadj] = 'OTHER'",y,,,,,
vpk_suppex_exncmpae,ombitasvir_paritaprevir,,radio,"Adverse Event (Combo pill stop)","FATIGUE, Fatigue | HEADACHE, Headache | NAUSEA, Nausea | ANAEMIA, Anemia | INSOMNIA, Insomnia | FLU_LIKE_SYMPTOMS, Flu-like symptoms | RASH, Rash | PRURITUS, Pruritus | DIARRHEA, Diarrhea | DYSPNEA, Dyspnea | DIZZINESS, Dizziness | COUGH, Cough | ABDOMINAL_PAIN, Abdominal pain | DECREASED_APPETITE, Decreased appetite | IRRITABILITY, Irritability | CONSTIPATION, Constipation  | VOMITING, Vomiting | ANXIETY, Anxiety | BACK_PAIN, Back pain | DEPRESSION, Depression | HEPATIC_ENCEPHALOPATHY, Hepatic encephalopathy | OEDEMA_PERIPHERAL, Edema of extremities | OTHER, Other",,,,,,"[vpk_exadj] = 'ADVERSE_EVENT' OR [vpk_exadj] = 'DEATH'",y,,,,,
vpk_oth_suppex_exncmpae,ombitasvir_paritaprevir,,text,"Adverse Event (Combo pill stop) other",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[vpk_suppex_exncmpae] = 'OTHER'",y,,,,,
vpk_suppae_daaacn,ombitasvir_paritaprevir,,radio,"What action was taken with Combo pill as a result of this Adverse Event?","DOSE_INCREASED, Dose increased | DOSE_REDUCED, Dose reduced | DRUG_INTERRUPTED, Drug interrupted | DRUG_WITHDRAWN, Drug withdrawn",,,,,,"[vpk_exadj] = 'ADVERSE_EVENT'",y,,,,,
vpk_exendtc,ombitasvir_paritaprevir,,text,"Combo pill stop date",,"YYYY-MM-DD ",date_ymd,,,,"[vpk_exoccur] != 'N' AND ([vpk_suppex_extrtout] = 'COMPLETE' OR [vpk_suppex_extrtout] = 'PREMATURELY_DISCONTINUED' OR [vpk_suppex_extrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
vpk_exoccur,ombitasvir_paritaprevir,,radio,"Was Combo pill started? ","N, NO | Y, YES",,,,,,"[vpk_exstdtc] ='' AND [1_arm_1][rand_suppex_randreg] = 'VPK'",y,,,,,
vpk_suppex_exreasnost,ombitasvir_paritaprevir,,radio,"Please indicate why Combo pill dosing has not started","LEAD_IN_AWAITING_START, Currently on lead-in and awaiting Combo pill start | PEG_RBV_DISCONTINUED, Peg/RBV discontinued prior to Combo pill start | NEVER_STARTED_TREATMENT, Never started any portion of the HCV regimen | NOT_PART_OF_PLANNED_REGIMEN, Not part of planned regimen",,,,,,"[vpk_exoccur] = 'N'",y,,,,,
dbv_randmesg,dasabuvir,,descriptive,"<div class='red'>This subject has not been randomized. Treatment data cannot be entered.</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = ''",,,,,,
dbv_hvnmesg,dasabuvir,,descriptive,"<div class='red'>This subject was randomized to Harvoni. You must select a Harvoni-containing regimen</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = 'HVN'",,,,,,
dbv_zepmesg,dasabuvir,,descriptive,"<div class='red'>This subject was randomized to Zepatier. You must select a Zepatier-containing regimen</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = 'ZEP'",,,,,,
dbv_nxmesg,dasabuvir,,descriptive,"<div class=""yellow""><strong>Paritaprevir/Ombitasvir/Ritonavir is prescribed with Dasabuvir. Please be sure to complete the Parit / Ombit (Viekira) form as applicable.</strong></div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = 'VPK'",,,,,,
dbv_extrt,dasabuvir,(Exviera),descriptive,Dasabuvir,,,,,,,"0 = 1",,,,,,
dbv_exstdtc,dasabuvir,,text,"Dasabuvir start date",,YYYY-MM-DD,date_ymd,,,,"[dbv_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'VPK'",y,,,,,
dbv_exdose,dasabuvir,,radio,"Dasabuvir dose","1, 1 | OTHER, Other","Dose per administration",,,,,"[dbv_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'VPK'",y,,,,,
dbv_exdosu,dasabuvir,,descriptive,250mg,,,,,,,"0 = 1",,,,,,
dbv_exdosfrm,dasabuvir,,descriptive,TABLET,,,,,,,"0 = 1",,,,,,
dbv_exdosfrq,dasabuvir,,radio,"Dasabuvir dose frequency","BID, 2x / day | QD, 1x / day | QOD, Every other day | OTHER, Other","Dosing frequency per interval",,,,,"[dbv_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'VPK'",y,,,,,
dbv_oth_exdosfrq,dasabuvir,,text,"Dasabuvir dose frequency other",,,,,,,"[dbv_exdosfrq] = 'OTHER'",y,,,,,
dbv_suppex_extrtout,dasabuvir,,radio,"Dasabuvir dosing status","ONGOING, Ongoing | COMPLETE, Treatment completed | DOSE_MODIFIED_INTERRUPTED, Dose modified / temporarily interrupted | PREMATURELY_DISCONTINUED, Prematurely discontinued",,,,,,"[dbv_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'VPK'",y,,,,,
dbv_exadj,dasabuvir,,radio,"Reason for dose modification / premature discontinuation of Dasabuvir","ADVERSE_EVENT, Adverse Event | LACK_OF_EFFICACY, Lack of efficacy | WITHDRAWAL_BY_SUBJECT, Subject withdrew consent | LOST_TO_FOLLOWUP, Lost to follow-up | NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug | DEATH, Death | OTHER, Other",,,,,,"[dbv_exoccur] != 'N' AND ([dbv_suppex_extrtout] = 'PREMATURELY_DISCONTINUED' OR [dbv_suppex_extrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
dbv_oth_exadj,dasabuvir,,text,"Reason for dose modification / premature discontinuation of Dasabuvir other",,,,,,,"[dbv_exadj] = 'OTHER'",y,,,,,
dbv_suppex_exncmpae,dasabuvir,,radio,"Adverse Event (Dasabuvir stop)","FATIGUE, Fatigue | HEADACHE, Headache | NAUSEA, Nausea | ANAEMIA, Anemia | INSOMNIA, Insomnia | FLU_LIKE_SYMPTOMS, Flu-like symptoms | RASH, Rash | PRURITUS, Pruritus | DIARRHEA, Diarrhea | DYSPNEA, Dyspnea | DIZZINESS, Dizziness | COUGH, Cough | ABDOMINAL_PAIN, Abdominal pain | DECREASED_APPETITE, Decreased appetite | IRRITABILITY, Irritability | CONSTIPATION, Constipation  | VOMITING, Vomiting | ANXIETY, Anxiety | BACK_PAIN, Back pain | DEPRESSION, Depression | HEPATIC_ENCEPHALOPATHY, Hepatic encephalopathy | OEDEMA_PERIPHERAL, Edema of extremities | OTHER, Other",,,,,,"[dbv_exadj] = 'ADVERSE_EVENT' OR [dbv_exadj] = 'DEATH'",y,,,,,
dbv_oth_suppex_exncmpae,dasabuvir,,text,"Adverse Event (Dasabuvir stop) other",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[dbv_suppex_exncmpae] = 'OTHER'",y,,,,,
dbv_suppae_daaacn,dasabuvir,,radio,"What action was taken with Dasabuvir as a result of this Adverse Event?","DOSE_INCREASED, Dose increased | DOSE_REDUCED, Dose reduced | DRUG_INTERRUPTED, Drug interrupted | DRUG_WITHDRAWN, Drug withdrawn",,,,,,"[dbv_exadj] = 'ADVERSE_EVENT'",y,,,,,
dbv_exendtc,dasabuvir,,text,"Dasabuvir stop date",,"YYYY-MM-DD ",date_ymd,,,,"[dbv_exoccur] != 'N' AND ([dbv_suppex_extrtout] = 'COMPLETE' OR [dbv_suppex_extrtout] = 'PREMATURELY_DISCONTINUED' OR [dbv_suppex_extrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
dbv_exoccur,dasabuvir,,radio,"Was Dasabuvir started? ","N, NO | Y, YES",,,,,,"[dbv_exstdtc] ='' AND [1_arm_1][rand_suppex_randreg] = 'VPK'",y,,,,,
dbv_suppex_exreasnost,dasabuvir,,radio,"Please indicate why Dasabuvir dosing has not started","LEAD_IN_AWAITING_START, Currently on lead-in and awaiting Dasabuvir start | PEG_RBV_DISCONTINUED, Peg/RBV discontinued prior to Dasabuvir start | NEVER_STARTED_TREATMENT, Never started any portion of the HCV regimen | NOT_PART_OF_PLANNED_REGIMEN, Not part of planned regimen",,,,,,"[dbv_exoccur] = 'N'",y,,,,,
zep_randmesg,zepatier_administration,,descriptive,"<div class='red'>This subject has not been randomized. Treatment data cannot be entered.</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = ''",,,,,,
zep_hvnmesg,zepatier_administration,,descriptive,"<div class='red'>This subject was randomized to Harvoni. You must select a Harvoni-containing regimen</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = 'HVN'",,,,,,
zep_vpkmesg,zepatier_administration,,descriptive,"<div class='red'>This subject was randomized to Viekira. You must select a Viekira-containing regimen</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = 'VPK'",,,,,,
zep_extrt,zepatier_administration,"Elbasvir and Grazoprevir",descriptive,Zepatier,,,,,,,"0 = 1",,,,,,
zep_exstdtc,zepatier_administration,,text,"Zepatier start date",,YYYY-MM-DD,date_ymd,,,,"[zep_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'ZEP'",y,,,,,
zep_exdose,zepatier_administration,,radio,"Zepatier dose","1, 1 | OTHER, Other","Dose per administration",,,,,"[zep_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'ZEP'",y,,,,,
zep_exdosu,zepatier_administration,,descriptive,"50/100 mg",,,,,,,"0 = 1",,,,,,
zep_exdosfrm,zepatier_administration,,descriptive,TABLET,,,,,,,"0 = 1",,,,,,
zep_exdosfrq,zepatier_administration,,radio,"Zepatier dose frequency","QD, 1x / day | OTHER, Other","Dosing frequency per interval",,,,,"[zep_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'ZEP'",y,,,,,
zep_oth_exdosfrq,zepatier_administration,,text,"Zepatier dose frequency other",,,,,,,"[zep_exdosfrq] = 'OTHER'",y,,,,,
zep_suppex_extrtout,zepatier_administration,,radio,"Zepatier dosing status","ONGOING, Ongoing | COMPLETE, Treatment completed | DOSE_MODIFIED_INTERRUPTED, Dose modified / temporarily interrupted | PREMATURELY_DISCONTINUED, Prematurely discontinued",,,,,,"[zep_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] = 'ZEP'",y,,,,,
zep_exadj,zepatier_administration,,radio,"Reason for dose modification / premature discontinuation of Zepatier","ADVERSE_EVENT, Adverse Event | LACK_OF_EFFICACY, Lack of efficacy | WITHDRAWAL_BY_SUBJECT, Subject withdrew consent | LOST_TO_FOLLOWUP, Lost to follow-up | NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug | DEATH, Death | OTHER, Other",,,,,,"[zep_exoccur] != 'N' AND ([zep_suppex_extrtout] = 'PREMATURELY_DISCONTINUED' OR [zep_suppex_extrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
zep_oth_exadj,zepatier_administration,,text,"Reason for dose modification / premature discontinuation of Zepatier other",,,,,,,"[zep_exadj] = 'OTHER'",y,,,,,
zep_suppex_exncmpae,zepatier_administration,,radio,"Adverse Event (Zepatier stop)","FATIGUE, Fatigue | HEADACHE, Headache | NAUSEA, Nausea | ANAEMIA, Anemia | INSOMNIA, Insomnia | FLU_LIKE_SYMPTOMS, Flu-like symptoms | RASH, Rash | PRURITUS, Pruritus | DIARRHEA, Diarrhea | DYSPNEA, Dyspnea | DIZZINESS, Dizziness | COUGH, Cough | ABDOMINAL_PAIN, Abdominal pain | DECREASED_APPETITE, Decreased appetite | IRRITABILITY, Irritability | CONSTIPATION, Constipation  | VOMITING, Vomiting | ANXIETY, Anxiety | BACK_PAIN, Back pain | DEPRESSION, Depression | HEPATIC_ENCEPHALOPATHY, Hepatic encephalopathy | OEDEMA_PERIPHERAL, Edema of extremities | OTHER, Other",,,,,,"[zep_exadj] = 'ADVERSE_EVENT' OR [zep_exadj] = 'DEATH'",y,,,,,
zep_oth_suppex_exncmpae,zepatier_administration,,text,"Adverse Event (Zepatier stop) other",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[zep_suppex_exncmpae] = 'OTHER'",y,,,,,
zep_suppae_daaacn,zepatier_administration,,radio,"What action was taken with Zepatier as a result of this Adverse Event?","DOSE_INCREASED, Dose increased | DOSE_REDUCED, Dose reduced | DRUG_INTERRUPTED, Drug interrupted | DRUG_WITHDRAWN, Drug withdrawn",,,,,,"[zep_exadj] = 'ADVERSE_EVENT'",y,,,,,
zep_exendtc,zepatier_administration,,text,"Zepatier stop date",,"YYYY-MM-DD ",date_ymd,,,,"[zep_exoccur] != 'N' AND ([zep_suppex_extrtout] = 'COMPLETE' OR [zep_suppex_extrtout] = 'PREMATURELY_DISCONTINUED' OR [zep_suppex_extrtout] = 'DOSE_MODIFIED_INTERRUPTED')",y,,,,,
zep_exoccur,zepatier_administration,,radio,"Was Zepatier started? ","N, NO | Y, YES",,,,,,"[zep_exstdtc] ='' AND [1_arm_1][rand_suppex_randreg] = 'ZEP'",y,,,,,
zep_suppex_exreasnost,zepatier_administration,,radio,"Please indicate why Zepatier dosing has not started","LEAD_IN_AWAITING_START, Currently on lead-in and awaiting Zepatier start | PEG_RBV_DISCONTINUED, Peg/RBV discontinued prior to Zepatier start | NEVER_STARTED_TREATMENT, Never started any portion of the HCV regimen | NOT_PART_OF_PLANNED_REGIMEN, Not part of planned regimen",,,,,,"[zep_exoccur] = 'N'",y,,,,,
rbv_randmesg,ribavirin_administration,,descriptive,"<div class='red'>This subject has not been randomized. Treatment data cannot be entered.</div>",,,,,,,"[1_arm_1][rand_suppex_randreg] = ''",,,,,,
rbv_extrt,ribavirin_administration,,descriptive,Ribavirin,,,,,,,"0 = 1",,,,,,
rbv_exstdtc,ribavirin_administration,,text,"Ribavirin start date",,YYYY-MM-DD,date_ymd,,,,"[rbv_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] != ''",y,,,,,
rbv_exdose,ribavirin_administration,,text,"Ribavirin initial dose",,"Dose per administration",number,,,,"[rbv_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] != ''",y,,,,,
rbv_exdosu,ribavirin_administration,,descriptive,mg,,,,,,,"0 = 1",,,,,,
rbv_exdosfrq,ribavirin_administration,,radio,"Ribavirin dose frequency","QD, Daily | OTHER, Other","Dosing frequency per Interval",,,,,"[rbv_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] != ''",y,,,,,
rbv_suppex_dosetype,ribavirin_administration,,radio,"Divided or single dose?","DIVIDED, Divided dose | SINGLE, Single dose",,,,,,"[rbv_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] != ''",y,,,,,
rbv_oth_exdosfrq,ribavirin_administration,,text,"Ribavirin dose frequency other",,"@AUTOCOMPLETE=SELECT codelist_value FROM _codelist_view",,,,,"[rbv_exdosfrq] = 'OTHER'",y,,,,,
rbv_exdosfrm,ribavirin_administration,,descriptive,TABLET,,,,,,,"0 = 1",,,,,,
rbv_suppex_extrtout,ribavirin_administration,,radio,"Ribavirin dosing status","ONGOING, Ongoing | COMPLETE, Treatment completed | DOSE_MODIFIED_INTERRUPTED, Dose modified / temporarily interrupted | PREMATURELY_DISCONTINUED, Prematurely discontinued",,,,,,"[rbv_exoccur] != 'N' AND [1_arm_1][rand_suppex_randreg] != ''",y,,,,,
rbv_suppex_exadj,ribavirin_administration,,radio,"Reason for dose modification / premature discontinuation of Ribavirin","ADVERSE_EVENT, Adverse Event | LACK_OF_EFFICACY, Lack of efficacy | WITHDRAWAL_BY_SUBJECT, Subject withdrew consent | LOST_TO_FOLLOWUP, Lost to follow-up | NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug | DEATH, Death | OTHER, Other",,,,,,"[rbv_exoccur] != 'N' AND [rbv_suppex_extrtout] = 'PREMATURELY_DISCONTINUED'",y,,,,,
rbv_esc_suppex_exadj,ribavirin_administration,,radio,"Reason for dose modification / premature discontinuation of Ribavirin","ADVERSE_EVENT, Adverse Event | LACK_OF_EFFICACY, Lack of efficacy | WITHDRAWAL_BY_SUBJECT, Subject withdrew consent | LOST_TO_FOLLOWUP, Lost to follow-up | NON_COMPLIANCE_WITH_STUDY_DRUG, Non-compliance with study drug | DEATH, Death | PLANNED_DOSE_ESCALATION, Planned regimen dose escalation | OTHER, Other",,,,,,"[rbv_exoccur] != 'N' AND [rbv_suppex_extrtout] = 'DOSE_MODIFIED_INTERRUPTED'",y,,,,,
